의료기관명,소재지,전화번호,병상수,개설일자,구군,종별
의료법인 은성의료재단 좋은삼정병원,울산광역시 남구 북부순환도로 51 (무거동),052-220-7500,299,2014-06-02,남구,종합병원
의료법인 정안의료재단 중앙병원,"울산광역시 남구 문수로 472, 중앙병원 (신정동)",052-226-1100,357,2015-04-09,남구,종합병원
서울산보람병원,"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",052-255-7114,213,2007-02-01,울주군,종합병원
의료법인 동강의료재단 동강병원,울산광역시 중구 태화로 239 (태화동),052-241-1114,569,1981-06-22,중구,종합병원
의료법인 동강의료재단 동천동강병원,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",052-702-3114,243,2016-05-31,중구,종합병원
학교법인 울산공업학원 울산대학교병원,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,979,1977-03-23,동구,종합병원
의료법인 송은의료재단 울산시티병원,울산광역시 북구 산업로 1007 (연암동),052-280-9000,336,2014-08-04,북구,종합병원
울산엘리야병원,울산광역시 북구 호계로 285 (호계동),052-290-2100,164,2002-09-02,북구,종합병원
울산병원,울산광역시 남구 월평로171번길 13 (신정동),052-259-5000,342,1995-08-21,남구,종합병원
좋은의사들안과병원,"울산광역시 남구 삼산로 213, 웰빙메디타워 2~7, 10층 (달동)",052)276-3500,30,2019-05-30,남구,병원
자재병원,울산광역시 울주군 상북면 소야정길 216-39,052-255-8400,43,2013-07-25,울주군,병원
의료법인 명원의료재단 파인힐병원,울산광역시 울주군 상북면 석남로 900,052-263-0070,85,2017-06-09,울주군,병원
항사랑병원,울산광역시 남구 번영로 92 (달동),052-269-0975,32,2005-07-01,남구,병원
아이마음아동병원,"울산광역시 북구 괴정1길 114, 2,3,4,5층 (매곡동)",052-716-5170,71,2019-05-08,북구,병원
서울아동병원,"울산광역시 남구 북부순환도로 25, 지하1,2~6층 (무거동)",052-922-1100,61,2015-09-24,남구,병원
우리병원,울산광역시 울주군 언양읍 헌양길 175,052-716-1365,50,2016-01-05,울주군,병원
맘스여성병원,울산광역시 중구 남외2길 36 (남외동),052-290-6000,46,2011-03-24,중구,병원
울산H병원,울산광역시 중구 화합로 363 (반구동),052-290-7100,96,2012-04-20,중구,병원
아이윤병원,"울산광역시 중구 번영로 371, 3,6,7,12층 (학산동)",052-291-0087,30,2016-12-31,중구,병원
의료법인동원의료재단강남동강병원,울산광역시 남구 돋질로 80 (달동),052-241-3114,82,2003-04-12,남구,병원
중앙학문병원,울산광역시 남구 삼산로 161 (달동),052-257-6565,30,2005-06-23,남구,병원
울산미즈병원,울산광역시 남구 남산로 2 (무거동),052-220-0100,44,2011-08-01,남구,병원
하나이비인후과병원,울산광역시 남구 삼산로 139 (달동),052-708-1111,39,2007-10-11,남구,병원
굿모닝병원,울산광역시 남구 삼산로 110 (달동),052-259-9000,201,2000-10-25,남구,병원
울들병원,"울산광역시 남구 중앙로 228, 2~10층 (신정동)",052-706-1111,100,2008-07-03,남구,병원
햇살아동병원,울산광역시 울주군 범서읍 천상중앙길 80,052-211-8448,42,2012-12-04,울주군,병원
의료법인에스엠씨의료재단울산세민병원,울산광역시 중구 학성로 184 (학성동),052-290-0114,149,2006-04-20,중구,병원
유성병원,울산광역시 중구 장춘로 169 (학산동),052-210-0100,31,2005-11-28,중구,병원
(의)성덕의료재단 간절곶자연병원,울산광역시 울주군 서생면 용리길 165-11,052-246-0002,66,2015-05-06,울주군,병원
울산아동병원,울산광역시 북구 호계로 332-1 (신천동),052-282-7171,30,2008-05-06,북구,병원
하이본병원,"울산광역시 남구 돋질로 228, 2~7층 (달동)",052-701-6000,99,2021-05-26,남구,병원
에이치엠병원,울산광역시 남구 중앙로167번길 26 (신정동),052-267-0075,32,2002-12-30,남구,병원
건강한윌병원,"울산광역시 남구 중앙로 282, 5~11층 (신정동)",1833-2922,69,2021-11-01,남구,병원
제니스병원,"울산광역시 남구 번영로 160, 2~3, 5~9층 (달동)",052-274-2009,75,2019-09-02,남구,병원
위드여성병원,울산광역시 남구 남중로 123 (삼산동),052-915-8000,42,2012-05-03,남구,병원
울산청맥외과병원,"울산광역시 남구 삼산로 274, 15층 (삼산동, W-CENTER)",052-266-2975,30,2016-12-05,남구,병원
(의) 내경의료재단 울산제일병원,울산광역시 남구 남산로354번길 26 (신정동),052-220-3300,148,1993-09-16,남구,병원
울산우리병원,"울산광역시 남구 번영로 195, 2층 (신정동, 동문아뮤티)",052-220-8000,60,2010-01-21,남구,병원
참바른병원,"울산광역시 남구 삼산로 247, 2,10,11,12층 (달동)",1544-7544,45,2015-10-21,남구,병원
(의)인석의료재단 보람병원,울산광역시 남구 돋질로336번길 10 (삼산동),052-278-0114,214,1997-04-22,남구,병원
의료법인 송은의료재단 울산시티e병원,울산광역시 북구 산업로 1001 (연암동),052-280-8000,182,2016-08-26,북구,병원
북울산병원,"울산광역시 북구 신답로 37, 지하1층~지상8층 (상안동)",052-293-8888,140,2023-02-10,북구,병원
한빛치과병원,"울산광역시 남구 문수로 368, 5~8층 (옥동)",052-707-2875,0,2012-03-27,남구,치과병원
씨케이치과병원,울산광역시 동구 방어진순환도로 625(일산동),052-252-8200,0,2006-09-18,동구,치과병원
CK치과병원,울산광역시 남구 삼산로 173 (달동),052-270-2800,0,2009-07-06,남구,치과병원
